# Summarize FastOrtho
# PYTHON VERSION: 3.7.12
# Script call:    03_summarize_fastortho.py
# Runtime:        01/05/2023 15:37:58
# ----------------
# Ortholog directory:/n/holylfs05/LABS/informatics/Users/gthomas/spiders/fastortho/16spec/
# Output file:      ../data/16spec/fastortho-summary-16spec.csv
# ----------------
inflation,genes,taxa
2,21,16
2,21,14
2,21,16
2,21,15
2,21,15
2,21,14
2,21,16
2,21,14
2,21,14
2,21,15
2,21,15
2,21,15
2,21,15
2,21,16
2,21,14
2,21,15
2,21,16
2,21,16
2,21,14
2,21,16
2,21,14
2,21,15
2,21,16
2,21,15
2,21,14
2,21,15
2,21,13
2,21,15
2,21,14
2,21,15
2,21,15
2,21,16
2,21,15
2,21,13
2,21,16
2,21,15
2,21,15
2,21,13
2,21,16
2,21,16
2,21,16
2,21,16
2,21,15
2,21,12
2,21,16
2,21,14
2,21,15
2,21,13
2,21,14
2,21,16
2,21,12
2,21,15
2,21,14
2,21,16
2,21,11
2,21,16
2,21,16
2,21,15
2,21,16
2,21,16
2,21,16
2,21,16
2,21,16
2,21,15
2,21,14
2,21,15
2,21,16
2,21,16
2,21,14
2,21,15
2,21,16
2,21,16
2,21,16
2,21,14
2,21,11
2,21,13
2,21,14
2,21,16
2,21,16
2,21,15
2,21,14
2,21,14
2,21,15
2,21,16
2,21,16
2,21,15
2,21,16
2,21,16
2,21,15
2,21,15
2,21,16
2,21,15
2,21,13
2,21,15
2,21,15
2,21,14
2,21,15
2,21,16
2,21,14
2,21,15
2,21,16
2,21,11
2,21,15
2,21,14
2,21,16
2,21,16
2,21,15
2,21,15
2,21,14
2,21,14
2,21,14
2,21,16
2,21,15
2,21,16
2,21,15
2,21,14
2,21,15
2,21,16
2,21,15
2,21,15
2,21,15
2,21,16
2,21,15
2,21,16
2,21,15
2,21,15
2,21,14
2,21,16
2,21,15
2,21,14
2,21,15
2,21,16
2,21,15
2,21,13
2,21,15
2,21,16
2,21,16
2,21,15
2,21,15
2,21,16
2,21,15
2,21,15
2,21,16
2,21,14
2,21,16
2,21,14
2,21,16
2,21,16
2,21,15
2,21,15
2,21,15
2,21,13
2,21,14
2,21,16
2,21,14
2,21,15
2,21,14
2,21,16
2,21,15
2,21,16
2,21,14
2,21,14
2,21,13
2,21,14
2,21,13
2,21,15
2,21,15
2,21,13
2,21,13
2,21,13
2,21,15
2,21,8
2,21,14
2,21,14
2,21,13
2,21,1
2,21,1
2,21,1
2,21,2
2,21,3
2,21,1
2,21,1
2,21,2
2,21,2
2,21,1
2,21,2
2,21,4
2,21,1
2,21,1
2,21,1
2,21,1
2,21,1
2,21,1
2,21,1
2,21,1
2,21,1
2,20,1
2,20,14
2,20,15
2,20,13
2,20,15
2,20,15
2,20,16
2,20,15
2,20,15
2,20,15
2,20,16
2,20,15
2,20,16
2,20,15
2,20,14
2,20,13
2,20,16
2,20,14
2,20,16
2,20,15
2,20,16
2,20,15
2,20,16
2,20,15
2,20,16
2,20,14
2,20,16
2,20,14
2,20,16
2,20,14
2,20,16
2,20,13
2,20,16
2,20,15
2,20,13
2,20,16
2,20,14
2,20,15
2,20,13
2,20,15
2,20,15
2,20,16
2,20,16
2,20,16
2,20,14
2,20,16
2,20,15
2,20,14
2,20,15
2,20,13
2,20,16
2,20,14
2,20,16
2,20,15
2,20,13
2,20,15
2,20,15
2,20,14
2,20,14
2,20,15
2,20,15
2,20,13
2,20,16
2,20,14
2,20,16
2,20,13
2,20,16
2,20,13
2,20,15
2,20,15
2,20,14
2,20,15
2,20,15
2,20,16
2,20,15
2,20,15
2,20,10
2,20,14
2,20,15
2,20,13
2,20,12
2,20,14
2,20,15
2,20,16
2,20,14
2,20,14
2,20,14
2,20,15
2,20,15
2,20,15
2,20,13
2,20,14
2,20,16
2,20,13
2,20,15
2,20,16
2,20,16
2,20,16
2,20,14
2,20,16
2,20,15
2,20,14
2,20,16
2,20,15
2,20,15
2,20,14
2,20,15
2,20,16
2,20,16
2,20,16
2,20,16
2,20,15
2,20,12
2,20,16
2,20,14
2,20,16
2,20,16
2,20,16
2,20,13
2,20,10
2,20,15
2,20,13
2,20,15
2,20,14
2,20,15
2,20,15
2,20,15
2,20,14
2,20,16
2,20,16
2,20,16
2,20,15
2,20,14
2,20,16
2,20,15
2,20,16
2,20,15
2,20,12
2,20,14
2,20,15
2,20,14
2,20,16
2,20,15
2,20,15
2,20,11
2,20,13
2,20,15
2,20,8
2,20,14
2,20,13
2,20,15
2,20,15
2,20,15
2,20,15
2,20,15
2,20,16
2,20,15
2,20,12
2,20,15
2,20,14
2,20,14
2,20,15
2,20,16
2,20,15
2,20,15
2,20,14
2,20,14
2,20,15
2,20,15
2,20,15
2,20,16
2,20,14
2,20,16
2,20,16
2,20,16
2,20,15
2,20,12
2,20,14
2,20,16
2,20,15
2,20,15
2,20,16
2,20,15
2,20,15
2,20,16
2,20,14
2,20,14
2,20,15
2,20,15
2,20,15
2,20,15
2,20,16
2,20,13
2,20,10
2,20,15
2,20,14
2,20,16
2,20,16
2,20,16
2,20,16
2,20,16
2,20,14
2,20,13
2,20,15
2,20,16
2,20,14
2,20,13
2,20,16
2,20,16
2,20,12
2,20,13
2,20,15
2,20,12
2,20,11
2,20,12
2,20,12
2,20,14
2,20,15
2,20,15
2,20,14
2,20,11
2,20,10
2,20,15
2,20,11
2,20,11
2,20,12
2,20,14
2,20,13
2,20,12
2,20,14
2,20,11
2,20,15
2,20,13
2,20,14
2,20,12
2,20,11
2,20,15
2,20,13
2,20,15
2,20,12
2,20,15
2,20,2
2,20,13
2,20,10
2,20,15
2,20,15
2,20,15
2,20,3
2,20,1
2,20,1
2,20,2
2,20,3
2,20,1
2,20,1
2,20,2
2,20,2
2,20,1
2,20,1
2,19,15
2,19,16
2,19,14
2,19,15
2,19,15
2,19,15
2,19,15
2,19,1
2,19,2
2,19,15
2,19,16
2,19,16
2,19,16
2,19,15
2,19,11
2,19,15
2,19,16
2,19,15
2,19,15
2,19,16
2,19,14
2,19,14
2,19,16
2,19,15
2,19,15
2,19,16
2,19,13
2,19,15
2,19,16
2,19,15
2,19,14
2,19,15
2,19,1
2,19,15
2,19,15
2,19,15
2,19,14
2,19,13
2,19,14
2,19,15
2,19,15
2,19,14
2,19,15
2,19,14
2,19,16
2,19,15
2,19,15
2,19,15
2,19,16
2,19,15
2,19,16
2,19,14
2,19,16
2,19,15
2,19,15
2,19,12
2,19,16
2,19,15
2,19,14
2,19,16
2,19,15
2,19,13
2,19,15
2,19,15
2,19,16
2,19,13
2,19,16
2,19,13
2,19,15
2,19,15
2,19,16
2,19,16
2,19,16
2,19,14
2,19,13
2,19,14
2,19,15
2,19,15
2,19,16
2,19,16
2,19,15
2,19,15
2,19,15
2,19,15
2,19,15
2,19,15
2,19,14
2,19,15
2,19,15
2,19,15
2,19,14
2,19,13
2,19,15
2,19,13
2,19,15
2,19,13
2,19,16
2,19,15
2,19,14
2,19,15
2,19,15
2,19,15
2,19,13
2,19,15
2,19,15
2,19,16
2,19,15
2,19,15
2,19,15
2,19,13
2,19,16
2,19,16
2,19,15
2,19,15
2,19,14
2,19,12
2,19,15
2,19,14
2,19,16
2,19,15
2,19,15
2,19,12
2,19,13
2,19,14
2,19,13
2,19,15
2,19,12
2,19,15
2,19,15
2,19,15
2,19,15
2,19,15
2,19,16
2,19,14
2,19,16
2,19,16
2,19,15
2,19,12
2,19,12
2,19,13
2,19,14
2,19,16
2,19,16
2,19,13
2,19,15
2,19,14
2,19,14
2,19,15
2,19,15
2,19,15
